time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-11 12:59:00-04:00,EnhancedElliottWaveStrategy,e485f2dd47b24fa1a1be8b98a6b55767,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57653.40625,0.017351762595916587,0.0
2024-07-11 13:24:00-04:00,EnhancedElliottWaveStrategy,60c4dfdc470e484993a05f91d1bc7458,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:24:00-04:00,EnhancedElliottWaveStrategy,60c4dfdc470e484993a05f91d1bc7458,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57841.421875,0.017286385674068146,0.0
2024-07-11 13:34:00-04:00,EnhancedElliottWaveStrategy,6808d22db7db4b36b7e93ceac05bbf14,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:34:00-04:00,EnhancedElliottWaveStrategy,6808d22db7db4b36b7e93ceac05bbf14,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57854.703125,6.537692184844027e-05,0.0
2024-07-11 13:35:00-04:00,EnhancedElliottWaveStrategy,8eb61f8a03694577917466b78a2aa062,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:35:00-04:00,EnhancedElliottWaveStrategy,8eb61f8a03694577917466b78a2aa062,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57870.359375,0.017276274609689977,0.0
2024-07-11 13:42:00-04:00,EnhancedElliottWaveStrategy,ad59310b3bb94a358d0ff59dd2daeae3,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:42:00-04:00,EnhancedElliottWaveStrategy,ad59310b3bb94a358d0ff59dd2daeae3,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57854.1953125,0.017281969606041284,0.0
2024-07-11 13:49:00-04:00,EnhancedElliottWaveStrategy,e6ed57346bef4067b03e21cf933ad5c9,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:49:00-04:00,EnhancedElliottWaveStrategy,e6ed57346bef4067b03e21cf933ad5c9,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57827.87890625,0.017281969606041284,0.0
2024-07-11 13:50:00-04:00,EnhancedElliottWaveStrategy,ab428ba948aa4d66abdb6e13b61add15,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:50:00-04:00,EnhancedElliottWaveStrategy,ab428ba948aa4d66abdb6e13b61add15,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57827.87890625,0.01729116967284302,0.0
2024-07-11 13:52:00-04:00,EnhancedElliottWaveStrategy,73040f4bbaa746adb4a07c89845b31f7,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:52:00-04:00,EnhancedElliottWaveStrategy,73040f4bbaa746adb4a07c89845b31f7,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57912.9453125,0.017261461204055546,0.0
2024-07-11 13:53:00-04:00,EnhancedElliottWaveStrategy,5a6be4ee9f5246a8874262fe80a5ac03,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:53:00-04:00,EnhancedElliottWaveStrategy,5a6be4ee9f5246a8874262fe80a5ac03,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57916.625,2.9708468787473935e-05,0.0
2024-07-11 13:54:00-04:00,EnhancedElliottWaveStrategy,f82b614a760241f09ac339be30187ed7,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:54:00-04:00,EnhancedElliottWaveStrategy,f82b614a760241f09ac339be30187ed7,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57916.625,0.017260167131613862,0.0
2024-07-11 13:55:00-04:00,EnhancedElliottWaveStrategy,cbbe3ac1a4534960a6fef6c09cf9de7a,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 13:55:00-04:00,EnhancedElliottWaveStrategy,cbbe3ac1a4534960a6fef6c09cf9de7a,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57883.734375,0.017271838297476527,0.0
